	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
130	41	1.0	5	Original	Slow	2	Ammonium	200	0	-0.1604329786982954	0.8902439024390244	182.5
131	41	1.0	5	Original	Slow	2	Nitrate	60	95	0.7683106483214363	0.8902439024390244	182.5
132	41	1.0	5	Original	Slow	2	Sulphate	0	0	0.011327538801099631	0.8902439024390244	182.5
133	41	1.0	5	Original	Slow	2	Particulate organic matter	40	0	0.5630497024539287	0.8902439024390244	182.5
134	41	1.0	5	Original	Slow	2	Nitrogen	445	0	-0.4687708104097621	0.8902439024390244	182.5
135	41	1.0	5	Original	Slow	2	TOC	390	0	-0.7524387725667323	0.8902439024390244	182.5
136	41	1.0	5	Original	Slow	5	DOC	90	0	0.31205117844577407	0.8902439024390244	182.5
137	41	1.0	5	Original	Slow	5	DO	40	50	0.72674833725249	0.8902439024390244	182.5
138	41	1.0	5	Original	Slow	5	Ammonium	180	0	-0.21651885180124988	0.8902439024390244	182.5
139	41	1.0	5	Original	Slow	5	Nitrate	55	140	0.8345502649154344	0.8902439024390244	182.5
140	41	1.0	5	Original	Slow	5	Sulphate	0	0	-0.033596769116448384	0.8902439024390244	182.5
141	41	1.0	5	Original	Slow	5	Particulate organic matter	25	0	0.6157115338353366	0.8902439024390244	182.5
142	41	1.0	5	Original	Slow	5	Nitrogen	435	0	-0.4872281415772391	0.8902439024390244	182.5
143	41	1.0	5	Original	Slow	5	TOC	305	0	-0.7719343570749215	0.8902439024390244	182.5
144	42	1.0	10	Original	Slow	1	DOC	0	0	0.1818507405634342	1.024390243902439	210.0
145	42	1.0	10	Original	Slow	1	DO	65	0	0.6052208096900236	1.024390243902439	210.0
146	42	1.0	10	Original	Slow	1	Ammonium	190	0	-0.13040032602933968	1.024390243902439	210.0
147	42	1.0	10	Original	Slow	1	Nitrate	65	0	0.6499687109518916	1.024390243902439	210.0
148	42	1.0	10	Original	Slow	1	Sulphate	0	0	0.074648024029547	1.024390243902439	210.0
149	42	1.0	10	Original	Slow	1	Particulate organic matter	65	25	0.7247675817363657	1.024390243902439	210.0
150	42	1.0	10	Original	Slow	1	Nitrogen	0	0	0.3951073321712617	1.024390243902439	210.0
151	42	1.0	10	Original	Slow	1	TOC	395	0	-0.43735227528536746	1.024390243902439	210.0
152	42	1.0	10	Original	Slow	2	DOC	0	0	0.16907863584834695	1.024390243902439	210.0
153	42	1.0	10	Original	Slow	2	DO	55	45	0.716048334307676	1.024390243902439	210.0
154	42	1.0	10	Original	Slow	2	Ammonium	225	0	-0.32034236807992156	1.024390243902439	210.0
155	42	1.0	10	Original	Slow	2	Nitrate	70	155	0.8048139118166884	1.024390243902439	210.0
156	42	1.0	10	Original	Slow	2	Sulphate	0	0	0.01132760440321259	1.024390243902439	210.0
157	42	1.0	10	Original	Slow	2	Particulate organic matter	35	0	0.6782340834726723	1.024390243902439	210.0
158	42	1.0	10	Original	Slow	2	Nitrogen	520	0	-0.5856233620128035	1.024390243902439	210.0
159	42	1.0	10	Original	Slow	2	TOC	420	0	-0.7758637179943978	1.024390243902439	210.0
160	42	1.0	10	Original	Slow	5	DOC	50	0	0.1995168731876388	1.024390243902439	210.0
161	42	1.0	10	Original	Slow	5	DO	50	90	0.763642128552868	1.024390243902439	210.0
162	42	1.0	10	Original	Slow	5	Ammonium	210	0	-0.33963014175572753	1.024390243902439	210.0
163	42	1.0	10	Original	Slow	5	Nitrate	75	185	0.8557276901610726	1.024390243902439	210.0
164	42	1.0	10	Original	Slow	5	Sulphate	0	0	-0.033596698897125056	1.024390243902439	210.0
165	42	1.0	10	Original	Slow	5	Particulate organic matter	40	35	0.711561552530068	1.024390243902439	210.0
166	42	1.0	10	Original	Slow	5	Nitrogen	505	0	-0.5552724700150663	1.024390243902439	210.0
167	42	1.0	10	Original	Slow	5	TOC	430	0	-0.7598999708171009	1.024390243902439	210.0
168	44	10.0	5	Original	Slow	1	DOC	85	0	0.2624361348600946	0.8536585365853658	175.0
169	44	10.0	5	Original	Slow	1	DO	40	0	0.6721068250444662	0.8536585365853658	175.0
170	44	10.0	5	Original	Slow	1	Ammonium	0	0	0.05842995305923446	0.8536585365853658	175.0
171	44	10.0	5	Original	Slow	1	Nitrate	40	0	0.6807008018906567	0.8536585365853658	175.0
172	44	10.0	5	Original	Slow	1	Sulphate	0	0	0.07464804260398383	0.8536585365853658	175.0
173	44	10.0	5	Original	Slow	1	Particulate organic matter	60	35	0.7511698252698975	0.8536585365853658	175.0
174	44	10.0	5	Original	Slow	1	Nitrogen	0	0	0.45332715185109573	0.8536585365853658	175.0
175	44	10.0	5	Original	Slow	1	TOC	255	0	-0.2931986244661642	0.8536585365853658	175.0
176	44	10.0	5	Original	Slow	2	DOC	125	0	0.5046406142333034	0.8536585365853658	175.0
177	44	10.0	5	Original	Slow	2	DO	30	0	0.6861837230952823	0.8536585365853658	175.0
178	44	10.0	5	Original	Slow	2	Ammonium	175	0	-0.056455135110693874	0.8536585365853658	175.0
179	44	10.0	5	Original	Slow	2	Nitrate	35	0	0.6709784203558666	0.8536585365853658	175.0
180	44	10.0	5	Original	Slow	2	Sulphate	0	0	0.011327518544340734	0.8536585365853658	175.0
181	44	10.0	5	Original	Slow	2	Particulate organic matter	45	60	0.7308710745994729	0.8536585365853658	175.0
182	44	10.0	5	Original	Slow	2	Nitrogen	975	0	-0.4772129772618109	0.8536585365853658	175.0
183	44	10.0	5	Original	Slow	2	TOC	530	0	-0.698956361465425	0.8536585365853658	175.0
184	44	10.0	5	Original	Slow	5	DOC	125	0	0.5805162085900736	0.8536585365853658	175.0
185	44	10.0	5	Original	Slow	5	DO	30	95	0.7923914993522652	0.8536585365853658	175.0
186	44	10.0	5	Original	Slow	5	Ammonium	0	0	-0.1010461136531136	0.8536585365853658	175.0
187	44	10.0	5	Original	Slow	5	Nitrate	30	75	0.7620016621687629	0.8536585365853658	175.0
188	44	10.0	5	Original	Slow	5	Sulphate	0	0	-0.03359676020939946	0.8536585365853658	175.0
189	44	10.0	5	Original	Slow	5	Particulate organic matter	50	65	0.7366725293453128	0.8536585365853658	175.0
190	44	10.0	5	Original	Slow	5	Nitrogen	500	0	-0.4638563464385483	0.8536585365853658	175.0
191	44	10.0	5	Original	Slow	5	TOC	435	0	-0.6849708414795962	0.8536585365853658	175.0
192	45	10.0	10	Original	Slow	1	DOC	0	0	0.5685972940118119	0.7682926829268293	157.5
193	45	10.0	10	Original	Slow	1	DO	15	50	0.8769562509342678	0.7682926829268293	157.5
194	45	10.0	10	Original	Slow	1	Ammonium	65	0	-0.04898354335117219	0.7682926829268293	157.5
195	45	10.0	10	Original	Slow	1	Nitrate	15	50	0.8971179157175657	0.7682926829268293	157.5
196	45	10.0	10	Original	Slow	1	Sulphate	0	0	0.07464805731524975	0.7682926829268293	157.5
197	45	10.0	10	Original	Slow	1	Particulate organic matter	75	0	0.5886279366739041	0.7682926829268293	157.5
