Day,H1,H2,H3
258,1.936263428,0.598825414,1.407553831
259,1.857911442,0.619845959,1.369575788
260,1.863431593,0.645120201,1.391989864
261,1.899605284,0.659291074,1.381487238
262,1.908863481,0.658012952,1.353073707
263,1.926493499,0.646704395,1.354924677
264,1.801529673,0.632375969,1.359172754
265,1.729268311,0.617999263,1.39256369
266,1.685633415,0.603959042,1.402162342
267,1.633325618,0.592458276,1.384236705
268,1.678398318,0.587959286,1.392901807
269,1.645444712,0.592344037,1.36775388
270,1.68178953,0.60061381,1.32824117
271,1.716777857,0.603247503,1.311168573
272,1.666596613,0.594157469,1.297130415
273,1.689376185,0.576382082,1.299762728
274,1.624560561,0.559077522,1.265643627
275,1.633519315,0.54815589,1.227865111
276,1.677465604,0.540012365,1.242844688
277,1.647668857,0.525353177,1.220314175
278,1.710510338,0.500049167,1.19851946
279,1.660846414,0.47229464,1.214785694
280,1.626552439,0.458246748,1.199637624
281,1.6195518,0.469336741,1.190747049
282,1.552702837,0.502761915,1.170556398
283,1.639562542,0.543901011,1.148575757
284,1.662023949,0.578159027,1.192096255
285,1.696863099,0.601123522,1.205598284
286,1.762678064,0.618303695,1.202238185
287,1.729870107,0.636397065,1.242824208
288,1.805869589,0.656018902,1.243659209
289,1.780108528,0.673194832,1.233974038
290,1.733502354,0.686820921,1.235170612
291,1.755847503,0.702600409,1.231910616
292,1.709263493,0.727856967,1.265055889
293,1.777928028,0.762035278,1.259896405
294,1.741249434,0.793453371,1.237518735
295,1.653042341,0.807363444,1.270653735
296,1.650510177,0.798745199,1.273542169
297,1.592419974,0.777443679,1.275271175
298,1.654695504,0.759815785,1.306573567
299,1.645081136,0.754063873,1.312594911
300,1.595520292,0.753090138,1.325688074
301,1.654094845,0.742034114,1.301784698
302,1.641115675,0.713743827,1.255868909
303,1.695373485,0.677669811,1.273364786
304,1.666851337,0.653646528,1.269385763
305,1.589737854,0.656056376,1.25376236
306,1.637584269,0.682587008,1.285572896
307,1.620507263,0.717155924,1.299851683
308,1.646233289,0.743456393,1.308926773
309,1.603372903,0.756598634,1.31346203
310,1.509977202,0.763426995,1.315108312
311,1.540359769,0.773280632,1.348651853
312,1.51265637,0.789000661,1.33912934
313,1.523794578,0.805828363,1.301602359
314,1.511163929,0.817048877,1.286399608
315,1.468811681,0.819358821,1.249925521
316,1.54067525,0.813284846,1.222925074
317,1.548333973,0.800636096,1.203003022
318,1.572517702,0.783867698,1.194777153
319,1.59329906,0.768341489,1.225768086
320,1.589385823,0.763027135,1.199897061
321,1.67561019,0.775493335,1.16335444
322,1.691910971,0.803777396,1.180999306
323,1.695656998,0.833520494,1.154219943
324,1.684696557,0.846017017,1.133348268
325,1.627929652,0.832622036,1.138313995
326,1.632136531,0.803118685,1.113320042
327,1.600908474,0.779109436,1.120914482
328,1.594137821,0.776533836,1.109268375
329,1.612673927,0.792161898,1.08580155
330,1.599646086,0.806519439,1.142753436
331,1.618370253,0.801378505,1.168451351
332,1.607136816,0.776599658,1.158587798
333,1.613813182,0.751340819,1.182219765
334,1.640374377,0.748548547,1.170016289
335,1.644937996,0.776462526,1.143716796
336,1.672225295,0.823011523,1.118166962
337,1.686784671,0.866881415,1.088440515
338,1.695297063,0.894333905,1.095797584
339,1.66265016,0.907025781,1.074037449
340,1.574472142,0.91572406,1.032242602
341,1.492899302,0.927876917,1.028315696
342,1.45178981,0.941147676,1.019079962
343,1.465753309,0.947505291,1.017399915
344,1.472424436,0.941894113,1.016761754
345,1.466266515,0.926409847,1.01730999
346,1.460955655,0.907207637,1.044540836
347,1.475758573,0.88931265,1.021205333
348,1.506914958,0.875529905,0.997674742
349,1.486307939,0.869440389,1.037292958
350,1.48206405,0.87675663,1.04996828
351,1.511729456,0.901011903,1.067517891
352,1.580582832,0.936987057,1.098346195
353,1.649191869,0.969866849,1.099301947
354,1.595176595,0.983839879,1.1206603
355,1.520564654,0.974240132,1.109489476
356,1.447617388,0.95230666,1.087178811
357,1.408134433,0.937223627,1.129241861
358,1.419596255,0.941636768,1.131797905
359,1.365495184,0.963156626,1.113645859
360,1.369654512,0.988950689,1.133661778
361,1.391270756,1.008376417,1.139296175
362,1.389215812,1.021473673,1.164899538
363,1.388785026,1.035870985,1.189407865
364,1.28049757,1.056347225,1.206078609
365,1.255251231,1.078213755,1.259983898
366,1.294730868,1.091147128,1.257160416
367,1.338391194,1.089092259,1.224550855
368,1.422959177,1.075780553,1.236241884
369,1.37662985,1.060358207,1.22741361
370,1.353390894,1.04818951,1.227711797
371,1.318176883,1.03689667,1.237347506
372,1.221556783,1.021837466,1.233204079
373,1.207337874,1.004695662,1.264497865
374,1.14026318,0.994945676,1.260980272
375,1.174692085,1.001197831,1.241745686
376,1.245049321,1.020628584,1.283029223
377,1.225871729,1.038055413,1.293195173
378,1.259379515,1.037530755,1.275533655
379,1.185860993,1.016729489,1.266905032
380,1.170840806,0.990526937,1.241666137
381,1.219888966,0.979468982,1.235124133
