	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
73	73	38	0.1	5	Original	Slow	2	DO	-156.48095601389045	99.57079783866837	0.004292021613316461	205.0	1.0	0.0042696261198981724	1.0052453055113928
74	74	38	0.1	5	Original	Slow	2	Ammonium	-7.356180897761696	19.503459603381526	0.8049654039661847	205.0	1.0	0.8034181567414663	1.0019258305425829
75	75	38	0.1	5	Original	Slow	2	Nitrate	-117.01472393420697	74.45793863865616	0.2554206136134385	205.0	1.0	0.2533565432103582	1.0081468999257954
76	76	38	0.1	5	Original	Slow	2	Sulphate	-6.832724011474056e-06	7.246246855043355e-07	0.9999999927537528	205.0	1.0	0.999999993356212	0.9999999993975408
77	77	38	0.1	5	Original	Slow	2	Particulate organic matter	2.108157816849678	-67.07236495120681	1.670723649512068	205.0	1.0	1.6732474786310125	0.9984916581969038
78	78	38	0.1	5	Original	Slow	2	Nitrogen	-111.26802775345293	56.659125860837776	0.43340874139162233	205.0	1.0	0.4303249590787058	1.00716617116404
79	79	38	0.1	5	Original	Slow	2	TOC	-166.58531285518092	32.16029339067169	0.6783970660932831	205.0	1.0	0.6734845372243948	1.007294196967215
80	80	38	0.1	5	Original	Slow	5	DOC	-297.29452301297346	59.14391812804114	0.4085608187195885	205.0	1.0	0.4075729232272498	1.0024238496623288
81	81	38	0.1	5	Original	Slow	5	DO	-156.40534770174318	99.56914090993635	0.004308590900636432	205.0	1.0	0.0042696261198981724	1.009126040464449
82	82	38	0.1	5	Original	Slow	5	Ammonium	-7.3403867279582045	19.47066844764688	0.8052933155235312	205.0	1.0	0.8034181567414663	1.0023339761073737
83	83	38	0.1	5	Original	Slow	5	Nitrate	-116.73891175936255	74.31710824112088	0.2568289175887913	205.0	1.0	0.2533565432103582	1.013705485299229
84	84	38	0.1	5	Original	Slow	5	Sulphate	-7.184560672612862e-06	7.622933449303936e-07	0.9999999923770665	205.0	1.0	0.999999993356212	0.9999999990208545
85	85	38	0.1	5	Original	Slow	5	Particulate organic matter	2.114753473753191	-67.3136148194382	1.673136148194382	205.0	1.0	1.6732474786310125	0.9999334644527769
86	86	38	0.1	5	Original	Slow	5	Nitrogen	-110.80573024751554	56.45005451271693	0.4354994548728308	205.0	1.0	0.4303249590787058	1.0120246239149204
87	87	38	0.1	5	Original	Slow	5	TOC	-164.55884061492162	31.783899428119287	0.6821610057188069	205.0	1.0	0.6734845372243948	1.01288295130007
88	88	38	0.1	5	Original	Slow	1	DOC	-297.4678282918467	59.21206975028248	0.4078793024971753	205.0	1.0	0.4075729232272498	1.0007517164474506
89	89	38	0.1	5	Original	Slow	1	DO	-156.32034587162627	99.57165480424715	0.004283451957528251	205.0	1.0	0.0042696261198981724	1.00323818461894
90	90	38	0.1	5	Original	Slow	1	Ammonium	-7.344543340808138	19.492779665267943	0.8050722033473205	205.0	1.0	0.8034181567414663	1.0020587617941854
91	91	38	0.1	5	Original	Slow	1	Nitrate	-116.99685098417878	74.52369679982334	0.25476303200176653	205.0	1.0	0.2533565432103582	1.0055514208300533
92	92	38	0.1	5	Original	Slow	1	Sulphate	-6.550271677951969e-06	6.953897425127768e-07	0.9999999930461023	205.0	1.0	0.999999993356212	0.9999999996898903
93	93	38	0.1	5	Original	Slow	1	Particulate organic matter	2.131811929830046	-67.89520596344272	1.6789520596344274	205.0	1.0	1.6732474786310125	1.003409287075742
94	94	38	0.1	5	Original	Slow	1	Nitrogen	-111.34573261409984	56.75743730903582	0.4324256269096417	205.0	1.0	0.4303249590787058	1.0048815849199946
95	95	38	0.1	5	Original	Slow	1	TOC	-167.5112111829759	32.37254873171688	0.6762745126828312	205.0	1.0	0.6734845372243948	1.004142597645871
96	96	39	0.1	10	Original	Slow	0	DOC	-0.2708002089888094	59.21873607601488	0.4078126392398512	202.5	0.9878048780487804	0.4078126392398512	1.0
97	97	39	0.1	10	Original	Slow	0	DO	-0.14229134485736486	99.57231425750004	0.004276857424999815	202.5	0.9878048780487804	0.004276857424999815	1.0
