	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
92	37	0.1	2	Original	Slow	5	Mobile inactive aerobic degraders	160	0	-0.8582801404952373	1.0	205.0
93	37	0.1	2	Original	Slow	5	Mobile inactive nitrate reducers	155	0	-0.8564883286387788	1.0	205.0
94	37	0.1	2	Original	Slow	5	Mobile inactive sulphate reducers	70	0	-0.7038935752934232	1.0	205.0
95	37	0.1	2	Original	Slow	5	Mobile inactive ammonia oxidizers	30	0	-0.7976761004183837	1.0	205.0
96	38	0.1	5	Original	Slow	1	Immobile active aerobic degraders	0	55	0.9758852820177351	1.0	205.0
97	38	0.1	5	Original	Slow	1	Immobile active nitrate reducers	20	65	0.9529647249835344	1.0	205.0
98	38	0.1	5	Original	Slow	1	Immobile active sulphate reducers	0	0	0.5455891359838032	1.0	205.0
99	38	0.1	5	Original	Slow	1	Immobile active ammonia oxidizers	20	65	0.9145939185351182	1.0	205.0
100	38	0.1	5	Original	Slow	1	Mobile active aerobic degraders	20	0	-0.7806810638494197	1.0	205.0
101	38	0.1	5	Original	Slow	1	Mobile active nitrate reducers	160	0	-0.7121514076204244	1.0	205.0
102	38	0.1	5	Original	Slow	1	Mobile active sulphate reducers	0	40	0.9841940679286941	1.0	205.0
103	38	0.1	5	Original	Slow	1	Mobile active ammonia oxidizers	15	40	0.8567863441438215	1.0	205.0
104	38	0.1	5	Original	Slow	1	Immobile inactive aerobic degraders	80	0	-0.6828748844816751	1.0	205.0
105	38	0.1	5	Original	Slow	1	Immobile inactive nitrate reducers	20	0	-0.9018892488505315	1.0	205.0
106	38	0.1	5	Original	Slow	1	Immobile inactive sulphate reducers	475	0	0.48851347814953483	1.0	205.0
107	38	0.1	5	Original	Slow	1	Immobile inactive ammonia oxidizers	15	0	-0.8304482669448593	1.0	205.0
108	38	0.1	5	Original	Slow	1	Mobile inactive aerobic degraders	130	0	-0.7188223573939237	1.0	205.0
109	38	0.1	5	Original	Slow	1	Mobile inactive nitrate reducers	130	0	-0.7202227322997768	1.0	205.0
110	38	0.1	5	Original	Slow	1	Mobile inactive sulphate reducers	115	0	-0.6999114177068226	1.0	205.0
111	38	0.1	5	Original	Slow	1	Mobile inactive ammonia oxidizers	25	0	-0.8003313328504977	1.0	205.0
112	38	0.1	5	Original	Slow	2	Immobile active aerobic degraders	0	185	0.9840733134791492	1.0	205.0
113	38	0.1	5	Original	Slow	2	Immobile active nitrate reducers	20	220	0.9840471701350378	1.0	205.0
114	38	0.1	5	Original	Slow	2	Immobile active sulphate reducers	445	215	0.7724266437471946	1.0	205.0
115	38	0.1	5	Original	Slow	2	Immobile active ammonia oxidizers	25	230	0.9637801441267481	1.0	205.0
116	38	0.1	5	Original	Slow	2	Mobile active aerobic degraders	20	0	-0.7701423704063695	1.0	205.0
117	38	0.1	5	Original	Slow	2	Mobile active nitrate reducers	190	0	-0.7796036421668384	1.0	205.0
118	38	0.1	5	Original	Slow	2	Mobile active sulphate reducers	0	155	0.9882428088192418	1.0	205.0
119	38	0.1	5	Original	Slow	2	Mobile active ammonia oxidizers	15	140	0.8778770087669018	1.0	205.0
120	38	0.1	5	Original	Slow	2	Immobile inactive aerobic degraders	155	0	-0.890596328012364	1.0	205.0
121	38	0.1	5	Original	Slow	2	Immobile inactive nitrate reducers	10	0	-0.8606507706860222	1.0	205.0
